5 1.000000 1.000000 1.200000 1.000000 0.000000 0.000000 0.600000 0.000000
6 1.100000 1.050000 1.850000 1.550000 0.200000 0.150000 0.708872 0.687386
7 1.000000 1.000000 1.650000 1.500000 0.000000 0.000000 0.485627 0.577350
8 1.133333 1.100000 1.650000 1.466667 0.163299 0.152753 0.050000 0.305505
9 1.033333 1.000000 1.566667 1.375000 0.100000 0.000000 0.376017 0.439776
10 1.020000 1.000000 1.513333 1.421667 0.060000 0.000000 0.211844 0.282651
11 1.020000 1.000000 1.495000 1.350000 0.060000 0.000000 0.183644 0.319374
12 1.060000 1.040000 1.488333 1.451667 0.128062 0.080000 0.222117 0.262726
13 1.036667 1.020000 1.461905 1.325238 0.073711 0.060000 0.210625 0.262985
14 1.033333 1.000000 1.492857 1.442857 0.066667 0.000000 0.074574 0.165369
15 1.055357 1.041071 1.466071 1.412500 0.093285 0.062907 0.190979 0.250751


